condiciones ocurrentes	Condiciones co-ocurrentes
autismo dislexia lectura	Autismo y dislexia (lectura)
autismo discalculia matematicas	Autismo y discalculia (matemáticas)
autismo disgrafia escritura mano	Autismo y disgrafía y escritura a mano
apoyar aula alumno autista tdah	Apoyar en el aula al alumno autista (c
recreo tiempos estructurados	El recreo y los tiempos no estructurad
comedor escolar	El comedor escolar
excursiones actividades fuera aula	Excursiones y actividades fuera del au
campamentos ocio inclusivo	Campamentos y ocio inclusivo
transporte escolar publico adaptado	Transporte escolar y público adaptado
planes emergencias desastres	Planes ante emergencias y desastres
autismo republica dominicana puerto rico	Autismo en República Dominicana y Puer
autismo costa rica panama caribe	Autismo en Costa Rica, Panamá y el Car
autismo honduras salvador nicaragua	Autismo en Honduras, El Salvador y Nic
elegir sistema caa pecs dispositivos	Elegir un sistema de CAA (PECS, dispos
lengua senas signos ninos autistas	Lengua de señas y signos con niños aut
perfiles sensoriales	Perfiles sensoriales: buscadores y evi
dieta sensorial herramientas regulacion matiz	"Dieta sensorial" y herramientas de re
distinguir rabieta meltdown shutdown guia	Distinguir rabieta, meltdown y shutdow
agresion hacia otros	Agresión hacia otros: entender la func
lograr visita vacunacion trauma	Lograr una visita de vacunación sin tr
analisis sangre procedimientos medicos preparacion	Análisis de sangre y procedimientos mé
autismo peso actividad fisica saludable	Autismo, peso y actividad física salud
evaluacion psicopedagogica neuropsicologica	Evaluación psicopedagógica y neuropsic
autismo inteligencia artificial herramienta apoyo	Autismo e inteligencia artificial como
embarazo maternidad paternidad siendo autista	Embarazo y maternidad/paternidad siend
cuidadores envejecen	Cuando los cuidadores envejecen: plani
diagnostico nino pequeno	Tras el diagnóstico en un niño pequeño
hermanos menores alto riesgo	Hermanos menores de alto riesgo: vigil
desarrollo lenguaje	Desarrollo del lenguaje: hitos y señal
fomentar juego interaccion otros ninos	Fomentar el juego y la interacción con
desinformacion redes sociales influencers salud	Desinformación en redes sociales e "in
responder familiares niegan diagnostico proponen	Responder a familiares que niegan el d
ensenar cocinar paso paso autonomia	Enseñar a cocinar paso a paso (autonom
manejo dinero compras	Manejo del dinero y las compras
organizacion tareas hogar	Organización y tareas del hogar
citas relaciones romanticas adultez	Citas y relaciones románticas en la ad
sexualidad adulta consentimiento limites	Sexualidad adulta, consentimiento y lí
abogar derechos hijo	Cómo abogar por los derechos de tu hij
reuniones escolares iep pei	Reuniones escolares (IEP/PEI): prepara
hacer respetan derechos reclamaciones	Qué hacer si no se respetan los derech
depresion autismo	Depresión en el autismo: señales y apo
ansiedad estrategias practicas dia dia	Ansiedad: estrategias prácticas del dí
rutina manana	La rutina de la mañana: salir de casa 
hora dormir	La hora de dormir: rutina y ambiente
berrinches publico miradas gente	Berrinches en público y las miradas de
dar instrucciones nino entienda	Cómo dar instrucciones que el niño ent
elogio motivacion autoestima	Elogio, motivación y autoestima
elegir juguetes materiales	Elegir juguetes y materiales
primer dia guarderia escuela infantil	El primer día de guardería o escuela i
nino juega otros ninos	Cuando el niño no juega con otros niño
hiperactividad correr parar quieto	Hiperactividad, correr y no parar quie
nino tapa oidos huye ruido	Cuando el niño se tapa los oídos o huy
cortar unas lavarse pelo otras	Cortar las uñas, lavarse el pelo y otr
parque espacios juego	Ir al parque y a espacios de juego
hablar pediatra	Hablar con el pediatra: cómo preparar 
entender informe diagnostico psicopedagogico	Entender un informe diagnóstico o psic
vacaciones escolares cambios rutina largos	Vacaciones escolares y cambios de ruti
familia muda casa ciudad	Cuando la familia se muda de casa o de
hacer agenda visual paso paso	Cómo hacer una agenda visual paso a pa
escribir historia social	Cómo escribir una historia social
crear rincon calma casa	Crear un rincón de calma en casa
pasaporte comunicacion ficha necesidades	Pasaporte de comunicación y ficha de n
ensenar esperar	Enseñar a esperar
apagar tablet tele crisis	Apagar la tablet o la tele sin crisis
ensenar elegir decidir	Enseñar a elegir y a decidir
ensenar datos personales hacer pierde	Enseñar datos personales y qué hacer s
seguridad vial normas calle	Seguridad vial y normas de la calle
natacion seguridad agua	Natación y seguridad en el agua
explicar autismo companeros clase	Explicar el autismo a los compañeros d
hacer terapia funcionando	Qué hacer si una terapia no está funci
bodas comuniones celebraciones familiares	Bodas, comuniones y celebraciones fami
vulnerabilidad economica estafas adultez	Vulnerabilidad económica y estafas en 
regular tus propias emociones madre	Regular tus propias emociones como mad
construir red apoyo	Construir tu red de apoyo
senales autismo bebes menores meses	Señales de autismo en bebés menores de
autismo etapa preescolar anos	Autismo en la etapa preescolar (3 a 6 
autismo edad escolar anos	Autismo en la edad escolar (7 a 12 año
decirle hijo autista	Cuándo y cómo decirle a tu hijo que es
repetir curso adelantar adaptar	Repetir curso, adelantar o adaptar: de
auxiliares apoyos personales aula	Auxiliares y apoyos personales en el a
convulsiones hacer momento	Convulsiones: qué hacer en el momento
fiebre dolor enfermedad nino comunica	Fiebre, dolor y enfermedad en un niño 
autismo calidad vida	Autismo y calidad de vida: qué medir d
objetivos terapeuticos	Objetivos terapéuticos: cómo saber si 
ruido luces olores casa	Ruido, luces y olores en casa: adaptar
hermanos repartir tiempo atencion	Hermanos: repartir el tiempo y la aten
familias monoparentales crianza solitario	Familias monoparentales y crianza en s
conciliar trabajo terapias citas	Conciliar el trabajo con las terapias 
autismo familias migrantes refugiadas	Autismo y familias migrantes o refugia
autismo comunidades religiosas espirituales	Autismo y comunidades religiosas o esp
habla llega tarde	Cuando el habla llega tarde: expectati
modelar caa	Modelar la CAA: cómo enseñar usándola 
comunicacion total	Comunicación total: gestos, habla y CA
autismo trastornos procesamiento sensorial	Autismo y trastornos del procesamiento
autismo anemia deficits nutricionales analiticas	Autismo y anemia, déficits nutricional
autismo higiene bucal casa	Autismo e higiene bucal en casa: rutin
cambios medicacion	Cambios de medicación: qué vigilar y c
preparar transicion colegio instituto	Preparar la transición del colegio al 
trabajo cuenta propia emprendimiento	Trabajo por cuenta propia y emprendimi
autismo servicio militar policia profesiones	Autismo y servicio militar, policía y 
duelo diagnostico	Duelo por el diagnóstico: el "duelo de
padres estan acuerdo diagnostico terapias	Cuando los padres no están de acuerdo 
autismo adopcion acogimiento	Autismo y adopción o acogimiento
autismo pobreza	Autismo y pobreza: el coste económico 
hablar autismo capacitismo	Cómo hablar del autismo sin capacitism
participar investigacion	Participar en investigación: ensayos, 
evaluacion funcional conducta	Evaluación funcional de la conducta: e
entrenamiento comunicacion funcional fct	Entrenamiento en comunicación funciona
autolesion entender prevenir castigar	Autolesión: entender y prevenir sin ca
aprendizaje errores ayudas graduadas	Aprendizaje sin errores y ayudas gradu
generalizar aprendido	Generalizar lo aprendido: que sirva fu
autismo videojuegos fortaleza	Autismo y videojuegos como fortaleza
autismo musica	Autismo y música: intereses, talento y
savantismo separar mito datos	Savantismo: separar el mito de los dat
autismo memoria autobiografica	Autismo y memoria autobiográfica
autismo toma decisiones	Autismo y toma de decisiones
autismo percepcion riesgo	Autismo y percepción del riesgo
hijo adulto vive casa	Cuando el hijo adulto vive en casa
autismo salud mujer autista adulta	Autismo y salud de la mujer autista ad
barreras urgencias hospitalarias	Barreras en urgencias hospitalarias
autismo covid enfermedades	Autismo y COVID/enfermedades: lo apren
saber app material educativo bueno	Cómo saber si una app o material educa
atraganta comer	Se atraganta al comer: masticación, tr
asegurar casa	Asegurar la casa: asfixia, ventanas, q
oye bien otitis serosa evaluar	¿Oye bien? Otitis serosa y cómo evalua
ingresarlo psiquiatria preguntar antes esperar	¿Hay que ingresarlo en psiquiatría? Qu
suelta cinturon abre puerta marcha	Se suelta el cinturón o abre la puerta
toma risperidona aripiprazol	Toma risperidona o aripiprazol: qué co
sospecho hacen dano colegio hijo	Sospecho que le hacen daño en el coleg
cambio golpe adolescencia	Cambió de golpe en la adolescencia: ps
quiere colegio	No quiere ir al colegio: rechazo escol
certificado valoracion discapacidad	El certificado o valoración de discapa
cumple anos	Cumple 18 años: ¿hay que incapacitarlo
terapia seguimiento videollamada	Terapia y seguimiento por videollamada
hacemos estudio genetico prueba pedir	¿Le hacemos un estudio genético? Qué p
estamos lista espera	Estamos en lista de espera: qué hacer 
come poquisimas cosas	Come poquísimas cosas: cuándo la selec
toma varios medicamentos vez	Toma varios medicamentos a la vez: cóm
aguanta dia colegio explota llegar	Aguanta todo el día en el colegio y ex
sospecha cae padres	Cuando la sospecha cae sobre los padre
camina puntillas	Camina de puntillas: cuándo preocupars
hace falta electroencefalograma nunca tenido	¿Hace falta un electroencefalograma si
miedo perros globos secadores manos	Miedo a los perros, a los globos o a l
hablar colegio dia	Hablar con el colegio cada día: cuader
centros ocupacionales empleo protegido centros	Centros ocupacionales, empleo protegid
publicar fotos informes crisis hijo	Publicar fotos, informes y crisis de t
medico dice autismo	El médico dice que "es por el autismo"
queda ausente mirada fija	Se queda ausente con la mirada fija: ¿
traga pastillas	No se traga las pastillas: qué se pued
recetado antidepresivo isrs	Le han recetado un antidepresivo (ISRS
hijo autista ademas tiene diabetes	Mi hijo autista además tiene diabetes,
puedo dejarlo solo casa baje	¿Puedo dejarlo solo en casa o que baje
tienen hacer resonancia queda quieto	Le tienen que hacer una resonancia y n
planificacion centrada persona	Planificación centrada en la persona: 
rompen huesos poco	Se le rompen los huesos con poco: dens
arranca pelo pellizca piel muerde	Se arranca el pelo, se pellizca la pie
recetado algo fuera indicacion off	Le han recetado algo "fuera de indicac
regla hace sufrir	La regla le hace sufrir: la decisión m
test genetico acertar psicofarmaco	Un test genético para acertar con el p
cuantas horas terapia demasiadas agenda	¿Cuántas horas de terapia son demasiad
denegado terapia	Me han denegado la terapia: cómo recla
casa gira alrededor evitar crisis	Toda la casa gira alrededor de evitar 
piden firmar adaptacion curricular significativa	Me piden firmar una adaptación curricu
llaman vaya recogerlo	Me llaman para que vaya a recogerlo: e
lleva meses poder clase	Lleva meses sin poder ir a clase: aten
hijo empieza trabajar	Mi hijo empieza a trabajar: ¿pierde la
termine colegio instituto empezar planificar	¿Y cuando termine el colegio o el inst
castigan trabajo cuidar hijo	Me castigan en el trabajo por cuidar a
necesitamos ayuda casa	Necesitamos ayuda en casa: cuidadora, 
cancela plan hunde	Se cancela el plan y se hunde: enseñar
tener hermanito	Va a tener un hermanito: cómo contárse
nos vamos vivir pais	Nos vamos a vivir a otro país: ¿vale e
tengo dar informe diagnostico expediente	¿A quién tengo que dar el informe del 
dejar hijo persona	Dejar a tu hijo con otra persona: la n
toma risperidona aripiprazol quieto hace	Desde que toma risperidona o aripipraz
pasa algo noche	Si me pasa algo a mí esta noche: qué t
pega muerde hermano hermana	Pega o muerde a su hermano o a su herm
dado algo ponga muy mal	Me han dado algo «para cuando se ponga
toma keppra levetiracetam antiepileptico irritable	Desde que toma Keppra (levetiracetam) 
pesa duele espalda	Ya pesa más que tú y a ti te duele la 
habla casa dice palabra colegio	Habla en casa y no dice ni una palabra
colegio dicen nadie puede medicar	En el colegio dicen que "aquí nadie pu
engordado mucho risperidona aripiprazol	Ha engordado mucho con la risperidona 
hace falta resonancia cerebral diagnostico	¿Hace falta una resonancia cerebral tr
diferencian informe medico certificado discapacidad	¿En qué se diferencian el informe del 
dicen epilepsia	Te dicen que «no es epilepsia»: ataque
tengo llevarla ginecologo primera cita	¿Tengo que llevarla al ginecólogo? La 
acaba atencion temprana	Cuando se acaba la atención temprana: 
acaba pediatra	Se le acaba el pediatra: pasar al médi
tiene paralisis cerebral ademas autismo	Tiene parálisis cerebral y además auti
niega psicologo	Se niega a ir al psicólogo: qué puede 
ayudas economicas hijo autismo	Ayudas económicas por un hijo con auti
lleva meses mandando curriculos llaman	Lleva meses mandando currículos y no l
nos dado colegio dice puede	Nos han dado un colegio que dice que n
niegan seguro discapacidad	Me niegan un seguro por su discapacida
pongo gps localizadores relojes hijo	¿Le pongo un GPS? Localizadores y relo
solo autobus	Ir solo en autobús: enseñar un trayect
dejar trabajo reducir jornada cuidar	Dejar el trabajo o reducir jornada par
reclame vuelto decir	Ya reclamé y me han vuelto a decir que
hago repartir cuidado carga mental	Lo hago todo yo: repartir el cuidado y
vivimos lejos	Vivimos lejos de todo: pueblo, distanc
fin semana dormimos casa abuelos	Este fin de semana dormimos en casa de
cambiado dos antiepilepticos sigue convulsiones	Ya le han cambiado dos antiepilépticos
denunciado ahora hijo tiene declarar	He denunciado y ahora mi hijo tiene qu
sospecho tratan mal centro dia	Sospecho que le tratan mal en el centr
llevo meses dormir levanta tres	Llevo meses sin dormir porque se levan
dieta gluten leche	Dieta sin gluten o sin leche: qué desc
pusieron trastorno limite personalidad tlp	Le pusieron trastorno límite de la per
deja poner audifono parche ferula	No se deja poner el audífono, el parch
entro cuenta ajena guardo unas	Entró en una cuenta ajena, guardó unas
calendario ano antes	El calendario del año antes de los 18:
guarderia dice puede todavia tiene	La guardería dice que no puede con él 
solo quiere mama	Solo quiere a mamá: no se queda con na
chequeo adulto pide nadie	El chequeo del adulto que no pide nadi
dentista dice dormirlo	El dentista dice que hay que dormirlo:
uno lado	Cada uno va por su lado: el médico, el
nos separamos hijo tiene discapacidad	Nos separamos y mi hijo tiene discapac
roto diente salido golpe	Se le ha roto un diente o se le ha sal
mayor edad puedo moverle cuenta	Ya es mayor de edad y no puedo ni move
cuido hijo autista ahora tambien	Cuido a mi hijo autista y ahora tambié
deja tirar nada	No deja tirar nada: colecciones, cajas
ronca deja respirar dormir	Ronca y deja de respirar al dormir: ¿l
nacio muy prematuro ahora sospechamos	Nació muy prematuro y ahora sospechamo
quiero trabaje verano antes acabar	Quiero que trabaje este verano antes d
tengo pareja nueva	Tengo pareja nueva: cómo se la present
duerme tres manana levante	No se duerme hasta las tres y por la m
tiene cancer enfermedad grave	Tiene un cáncer o una enfermedad grave
vecinos quejan ruido nos quieren	Los vecinos se quejan del ruido y nos 
nos mudamos comunidad provincia	Nos mudamos de comunidad o de provinci
reaccion medicamento urgencias hoy sarpullido	¿Esta reacción al medicamento es para 
llamar 112 911 plena crisis	Llamar al 112 o al 911 en plena crisis
colegio sujetan encierran solo cuarto	En el colegio lo sujetan o lo encierra
golpea cabeza	Se golpea la cabeza: el casco y las re
escapa cama noche tira carro	Se escapa de la cama por la noche o se
lleva meses salir cuarto	Lleva meses sin salir de su cuarto: el
hija toma valproato depakine tiene	Mi hija toma valproato (Depakine) y ya
gana peso crece	No gana peso ni crece: la curva plana,
doy vitaminas hierbas melatonina cbd	Le doy vitaminas, hierbas, melatonina 
lleva dos anos melatonina	Lleva dos años con melatonina: ¿es mal
cambiando cuerpo demasiado pronto lento	Le está cambiando el cuerpo demasiado 
duele testiculo baja piel pene	Le duele un testículo, no le baja la p
duele agotado	Le duele todo y está agotado: dolor cr
cae baba dia	Se le cae la baba todo el día: qué hay
pedir plaza residencia piso tutelado	Pedir plaza en una residencia, un piso
saca buenas notas asi colegio	Saca buenas notas, así que el colegio 
campamento academia gimnasio dicen pueden	El campamento, la academia o el gimnas
puede llamar telefono	No puede llamar por teléfono: pedir ci
sigue panal cabe cambiador bebes	Sigue con pañal y ya no cabe en el cam
estoy encima queda parado tablet	Si no estoy yo encima se queda parado 
dado grado aguanta trabajo	Le han dado un grado bajo y no aguanta
adulto quiere certificado terapia servicios	Ya es adulto y no quiere el certificad
hijo adulto acosan despedido discapacidad	A mi hijo adulto lo acosan o lo han de
necesito trabajar menos horas parar	Necesito trabajar menos horas o parar 
hija mayor hace cuidadora hermano	Mi hija mayor hace de cuidadora de su 
nos dan tarjeta aparcamiento ser	¿Nos dan la tarjeta de aparcamiento po
duerme nuestra cama quiere dormir	Duerme en nuestra cama y no quiere dor
duele barriga sabe decir	Le duele la barriga y no sabe decir dó
tragado pila boton iman moneda	Se ha tragado una pila de botón, un im
